Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Nigeria,Abia,Isiala Ngwa South,NGA,NG001006,NG00,January,1997,0,0
Nigeria,Adamawa,Mayo-Belwa,NGA,NG002012,NG00,January,1997,0,0
Nigeria,Adamawa,Shelleng,NGA,NG002017,NG00,January,1997,0,0
Nigeria,Adamawa,Yola-South,NGA,NG002020,NG00,January,1997,0,0
Nigeria,Akwa Ibom,Ibeno,NGA,NG003008,NG00,January,1997,0,0
Nigeria,Akwa Ibom,Nsit Ubium,NGA,NG003021,NG00,January,1997,0,0
Nigeria,Akwa Ibom,Okobo,NGA,NG003023,NG00,January,1997,0,0
Nigeria,Akwa Ibom,Onna,NGA,NG003024,NG00,January,1997,0,0
Nigeria,Akwa Ibom,Oruk Anam,NGA,NG003026,NG00,January,1997,0,0
Nigeria,Anambra,Awka North,NGA,NG004005,NG00,January,1997,0,0
Nigeria,Anambra,Awka South,NGA,NG004006,NG00,January,1997,0,0
Nigeria,Anambra,Ihiala,NGA,NG004012,NG00,January,1997,0,0
Nigeria,Bauchi,Darazo,NGA,NG005005,NG00,January,1997,0,0
Nigeria,Bauchi,Kirfi,NGA,NG005013,NG00,January,1997,0,0
Nigeria,Bayelsa,Brass,NGA,NG006001,NG00,January,1997,0,0
Nigeria,Benue,Gboko,NGA,NG007005,NG00,January,1997,0,0
Nigeria,Benue,Logo,NGA,NG007012,NG00,January,1997,0,0
Nigeria,Benue,Ushongo,NGA,NG007022,NG00,January,1997,0,0
Nigeria,Borno,Bama,NGA,NG008003,NG00,January,1997,0,0
Nigeria,Borno,Dikwa,NGA,NG008008,NG00,January,1997,0,0
Nigeria,Borno,Gwoza,NGA,NG008011,NG00,January,1997,0,0
Nigeria,Borno,Hawul,NGA,NG008012,NG00,January,1997,0,0
Nigeria,Borno,Shani,NGA,NG008027,NG00,January,1997,0,0
Nigeria,Cross River,Calabar South,NGA,NG009009,NG00,January,1997,0,0
Nigeria,Cross River,Ikom,NGA,NG009012,NG00,January,1997,0,0
Nigeria,Cross River,Obubra,NGA,NG009014,NG00,January,1997,0,0
Nigeria,Cross River,Obudu,NGA,NG009015,NG00,January,1997,0,0
Nigeria,Delta,Ika South,NGA,NG010008,NG01,January,1997,0,0
Nigeria,Delta,Isoko South,NGA,NG010010,NG01,January,1997,0,0
Nigeria,Delta,Oshimili South,NGA,NG010015,NG01,January,1997,0,0
Nigeria,Delta,Patani,NGA,NG010016,NG01,January,1997,0,0
Nigeria,Delta,Uvwie,NGA,NG010022,NG01,January,1997,0,0
Nigeria,Ebonyi,Izzi,NGA,NG011010,NG01,January,1997,0,0
Nigeria,Edo,Akoko Edo,NGA,NG012001,NG01,January,1997,0,0
Nigeria,Edo,Esan South East,NGA,NG012005,NG01,January,1997,0,0
Nigeria,Edo,Oredo,NGA,NG012012,NG01,January,1997,1,1
